date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-02-05,121.0,121.809998,120.519997,121.790001,120.183998,4565700.0,4565700.0,0.79,0.653,121.37333,"February 05, 21",0.00653,IBM,Technology
2021-02-04,119.910004,121.099998,118.870003,121.019997,119.424149,4562100.0,4562100.0,1.10999,0.926,120.33,"February 04, 21",0.00926,IBM,Technology
2021-02-03,119.040001,119.800003,118.120003,119.120003,117.54921,6715400.0,6715400.0,0.08,0.067,119.01334,"February 03, 21",0.00067,IBM,Technology
2021-02-02,119.360001,121.0,119.279999,119.440002,117.86499,6341900.0,6341900.0,0.08,0.067,119.90667,"February 02, 21",0.00067,IBM,Technology
2021-02-01,119.900002,120.949997,118.730003,120.540001,118.950485,6250500.0,6250500.0,0.64,0.534,120.07333,"February 01, 21",0.00534,IBM,Technology
2021-01-29,120.220001,121.300003,118.900002,119.110001,117.539337,11825500.0,11825500.0,-1.11,-0.923,119.77,"January 29, 21",-0.00923,IBM,Technology
2021-01-28,122.800003,123.199997,120.07,120.080002,118.496552,8084100.0,8084100.0,-2.72,-2.215,121.11667,"January 28, 21",-0.02215,IBM,Technology
2021-01-27,122.080002,124.790001,121.620003,122.470001,120.855034,12146500.0,12146500.0,0.39,0.319,122.96,"January 27, 21",0.00319,IBM,Technology
2021-01-26,119.18,122.589996,118.419998,122.489998,120.874763,10694700.0,10694700.0,3.31,2.777,121.16666,"January 26, 21",0.02777,IBM,Technology
2021-01-25,118.760002,119.540001,117.449997,118.580002,117.016335,13686400.0,13686400.0,-0.18,-0.152,118.52333,"January 25, 21",-0.00152,IBM,Technology
2021-01-22,120.699997,120.699997,117.360001,118.610001,117.045937,38063500.0,38063500.0,-2.09,-1.732,118.89,"January 22, 21",-0.01732,IBM,Technology
2021-01-21,130.119995,132.240005,130.050003,131.649994,129.913971,12819200.0,12819200.0,1.53,1.176,131.31333,"January 21, 21",0.01176,IBM,Technology
2021-01-20,129.699997,131.059998,128.559998,130.080002,128.364685,5598700.0,5598700.0,0.38001,0.293,129.9,"January 20, 21",0.00293,IBM,Technology
2021-01-19,129.279999,129.589996,128.089996,129.020004,127.318665,5398000.0,5398000.0,-0.26,-0.201,128.9,"January 19, 21",-0.00201,IBM,Technology
2021-01-15,128.279999,129.240005,127.669998,128.389999,126.696968,4905500.0,4905500.0,0.11,0.086,128.43333,"January 15, 21",0.00086,IBM,Technology
2021-01-14,128.020004,130.160004,127.550003,128.970001,127.269318,7503200.0,7503200.0,0.95,0.742,128.89334,"January 14, 21",0.00742,IBM,Technology
2021-01-13,129.149994,129.75,126.459999,126.919998,125.246353,7677700.0,7677700.0,-2.23,-1.727,127.71,"January 13, 21",-0.01727,IBM,Technology
2021-01-12,129.089996,129.850006,127.940002,129.210007,127.506165,3749200.0,3749200.0,0.12001,0.093,129.00001,"January 12, 21",0.00093,IBM,Technology
2021-01-11,127.949997,129.679993,127.660004,128.580002,126.884468,5602500.0,5602500.0,0.63001,0.492,128.64,"January 11, 21",0.00492,IBM,Technology
2021-01-08,128.570007,129.320007,126.980003,128.529999,128.529999,4676200.0,4676200.0,-0.04001,-0.031,128.27667,"January 08, 21",-0.00031,IBM,Technology
2021-01-07,130.039993,130.460007,128.259995,128.990005,128.990005,4507400.0,4507400.0,-1.04999,-0.807,129.23667,"January 07, 21",-0.00807,IBM,Technology
2021-01-06,126.900002,131.880005,126.720001,129.289993,129.289993,7956700.0,7956700.0,2.38999,1.883,129.29667,"January 06, 21",0.01883,IBM,Technology
2021-01-05,125.010002,126.68,124.610001,126.139999,126.139999,6114600.0,6114600.0,1.13,0.904,125.81,"January 05, 21",0.00904,IBM,Technology
2021-01-04,125.849998,125.919998,123.040001,123.940002,123.940002,5179200.0,5179200.0,-1.91,-1.518,124.3,"January 04, 21",-0.01518,IBM,Technology
2020-12-31,124.220001,126.029999,123.989998,125.879997,125.879997,3574400.0,3574400.0,1.66,1.336,125.3,"December 31, 20",0.01336,IBM,Technology
2020-12-30,123.800003,124.849998,123.629997,124.339996,124.339996,3380300.0,3380300.0,0.53999,0.436,124.27333,"December 30, 20",0.00436,IBM,Technology
2020-12-29,125.349998,125.480003,123.239998,123.800003,123.800003,3487000.0,3487000.0,-1.54999,-1.237,124.17333,"December 29, 20",-0.01237,IBM,Technology
2020-12-28,125.099998,126.599998,124.459999,124.82,124.82,3615200.0,3615200.0,-0.28,-0.224,125.29333,"December 28, 20",-0.00224,IBM,Technology
2020-12-24,125.0,125.099998,124.209999,124.690002,124.690002,1761100.0,1761100.0,-0.31,-0.248,124.66667,"December 24, 20",-0.00248,IBM,Technology
2020-12-23,123.879997,125.209999,123.739998,123.900002,123.900002,2693900.0,2693900.0,0.02,0.016,124.28333,"December 23, 20",0.00016,IBM,Technology
2020-12-22,123.309998,124.220001,122.410004,123.610001,123.610001,4336100.0,4336100.0,0.3,0.243,123.41334,"December 22, 20",0.00243,IBM,Technology
2020-12-21,123.970001,124.18,121.720001,123.389999,123.389999,6115700.0,6115700.0,-0.58,-0.468,123.09667,"December 21, 20",-0.00468,IBM,Technology
2020-12-18,125.589996,126.400002,124.970001,125.849998,125.849998,7552800.0,7552800.0,0.26,0.207,125.74,"December 18, 20",0.00207,IBM,Technology
2020-12-17,126.080002,126.089996,124.910004,125.550003,125.550003,3788000.0,3788000.0,-0.53,-0.42,125.51667,"December 17, 20",-0.0042,IBM,Technology
2020-12-16,125.93,126.57,125.290001,125.550003,125.550003,4530100.0,4530100.0,-0.38,-0.302,125.80333,"December 16, 20",-0.00302,IBM,Technology
2020-12-15,124.389999,125.93,123.440002,125.93,125.93,4359600.0,4359600.0,1.54,1.238,125.1,"December 15, 20",0.01238,IBM,Technology
2020-12-14,125.32,126.239998,123.470001,123.529999,123.529999,5050000.0,5050000.0,-1.79,-1.428,124.41333,"December 14, 20",-0.01428,IBM,Technology
2021-05-06,227.25,228.82,225.45,228.66,228.66,2012903.0,2012903.0,1.41,0.62,227.64333,"May 06, 21",0.0062,HON,Industrials
2021-05-05,226.47,227.27,226.47,226.19,226.19,1476041.0,1476041.0,-0.28,-0.124,226.64333,"May 05, 21",-0.00124,HON,Industrials
2021-05-04,222.14,225.6,220.75,225.43,225.43,2515137.0,2515137.0,3.29,1.481,223.92667,"May 04, 21",0.01481,HON,Industrials
2021-05-03,224.24,224.78,222.29,223.2,223.2,1724991.0,1724991.0,-1.04,-0.464,223.42333,"May 03, 21",-0.00464,HON,Industrials
2021-04-30,223.02,223.57,221.04,223.04,223.04,1688720.0,1688720.0,0.02,0.009,222.55,"April 30, 21",9e-05,HON,Industrials
2021-04-29,223.71,224.11,221.68,223.9,223.9,1577596.0,1577596.0,0.19,0.085,223.23,"April 29, 21",0.00085,HON,Industrials
2021-04-28,222.74,224.11,222.57,222.87,222.87,1858881.0,1858881.0,0.13,0.058,223.18333,"April 28, 21",0.00058,HON,Industrials
2021-04-27,222.02,223.75,221.11,222.93,222.93,2301617.0,2301617.0,0.91,0.41,222.59667,"April 27, 21",0.0041,HON,Industrials
2021-04-26,225.59,225.74,221.26,221.52,221.52,3619281.0,3619281.0,-4.07,-1.804,222.84,"April 26, 21",-0.01804,HON,Industrials
2021-04-23,225.2,226.95,222.23,224.5,224.5,4848534.0,4848534.0,-0.7,-0.311,224.56,"April 23, 21",-0.00311,HON,Industrials
2021-04-22,230.4,232.03,228.8,229.26,229.26,2450394.0,2450394.0,-1.14,-0.495,230.03,"April 22, 21",-0.00495,HON,Industrials
2021-04-21,227.13,230.66,226.9,230.5,230.5,1297316.0,1297316.0,3.37,1.484,229.35333,"April 21, 21",0.01484,HON,Industrials
2021-04-20,230.0,230.19,225.78,227.33,227.33,2064914.0,2064914.0,-2.67,-1.161,227.76667,"April 20, 21",-0.01161,HON,Industrials
2021-04-19,231.71,232.11,230.5,230.97,230.97,2909774.0,2909774.0,-0.74,-0.319,231.19333,"April 19, 21",-0.00319,HON,Industrials
2021-04-16,231.68,232.35,230.05,232.11,232.11,4134867.0,4134867.0,0.43,0.186,231.50333,"April 16, 21",0.00186,HON,Industrials
2021-04-15,230.23,230.71,228.57,229.84,229.84,2027207.0,2027207.0,-0.39,-0.169,229.70667,"April 15, 21",-0.00169,HON,Industrials
2021-04-14,228.0,230.990005,228.0,229.380005,229.380005,2186500.0,2186500.0,1.38001,0.605,229.45667,"April 14, 21",0.00605,HON,Industrials
2021-04-13,229.210007,229.949997,227.600006,229.0,229.0,2749900.0,2749900.0,-0.21001,-0.092,228.85,"April 13, 21",-0.00092,HON,Industrials
2021-04-12,225.639999,229.229996,225.559998,228.600006,228.600006,2660100.0,2660100.0,2.96001,1.312,227.79667,"April 12, 21",0.01312,HON,Industrials
2021-04-09,227.5,227.630005,223.309998,226.979996,226.979996,3861900.0,3861900.0,-0.52,-0.229,225.97333,"April 09, 21",-0.00229,HON,Industrials
2021-04-08,218.179993,219.960007,216.639999,219.860001,219.860001,2071700.0,2071700.0,1.68001,0.77,218.82,"April 08, 21",0.0077,HON,Industrials
2021-04-07,218.220001,219.880005,217.279999,218.5,218.5,1717200.0,1717200.0,0.28,0.128,218.55333,"April 07, 21",0.00128,HON,Industrials
2021-04-06,219.570007,221.050003,218.509995,219.190002,219.190002,1796000.0,1796000.0,-0.38001,-0.173,219.58333,"April 06, 21",-0.00173,HON,Industrials
2021-04-05,218.710007,220.110001,218.369995,219.270004,219.270004,2258700.0,2258700.0,0.56,0.256,219.25,"April 05, 21",0.00256,HON,Industrials
2021-04-01,217.960007,217.970001,215.490005,216.800003,216.800003,2109600.0,2109600.0,-1.16,-0.532,216.75334,"April 01, 21",-0.00532,HON,Industrials
2021-03-31,218.190002,219.169998,216.75,217.070007,217.070007,2450000.0,2450000.0,-1.11999,-0.513,217.66334,"March 31, 21",-0.00513,HON,Industrials
2021-03-30,219.0,219.309998,217.050003,218.089996,218.089996,2448100.0,2448100.0,-0.91,-0.416,218.15,"March 30, 21",-0.00416,HON,Industrials
2021-03-29,217.649994,219.669998,217.139999,218.880005,218.880005,3063900.0,3063900.0,1.23001,0.565,218.56333,"March 29, 21",0.00565,HON,Industrials
